INFO 2024-05-23 11:48:04,719 autoreload Watching for file changes with StatReloader
DEBUG 2024-05-23 11:48:04,726 autoreload Waiting for apps ready_event.
DEBUG 2024-05-23 11:48:04,929 autoreload Apps ready_event triggered. Sending autoreload_started signal.
DEBUG 2024-05-23 11:48:05,489 autoreload Watching dir C:\Users\raven\OneDrive\Escritorio\Coding\Personal_Projects\Task_Manager\FrontEnd\templates with glob **/*.
DEBUG 2024-05-23 11:48:05,494 autoreload Watching dir C:\Users\raven\OneDrive\Escritorio\Coding\Personal_Projects\Task_Manager\venv\Lib\site-packages\rest_framework\templates with glob **/*.
DEBUG 2024-05-23 11:48:05,496 autoreload Watching dir C:\Users\raven\OneDrive\Escritorio\Coding\Personal_Projects\Task_Manager\locale with glob **/*.mo.
DEBUG 2024-05-23 11:48:05,499 autoreload Watching dir C:\Users\raven\OneDrive\Escritorio\Coding\Personal_Projects\Task_Manager\BackEnd\locale with glob **/*.mo.
DEBUG 2024-05-23 11:48:05,500 autoreload Watching dir C:\Users\raven\OneDrive\Escritorio\Coding\Personal_Projects\Task_Manager\FrontEnd\locale with glob **/*.mo.
DEBUG 2024-05-23 11:48:05,500 autoreload Watching dir C:\Users\raven\OneDrive\Escritorio\Coding\Personal_Projects\Task_Manager\venv\Lib\site-packages\rest_framework\locale with glob **/*.mo.
DEBUG 2024-05-23 11:48:06,349 utils (0.094) 
            SELECT
                c.relname,
                CASE
                    WHEN c.relispartition THEN 'p'
                    WHEN c.relkind IN ('m', 'v') THEN 'v'
                    ELSE 't'
                END,
                obj_description(c.oid, 'pg_class')
            FROM pg_catalog.pg_class c
            LEFT JOIN pg_catalog.pg_namespace n ON n.oid = c.relnamespace
            WHERE c.relkind IN ('f', 'm', 'p', 'r', 'v')
                AND n.nspname NOT IN ('pg_catalog', 'pg_toast')
                AND pg_catalog.pg_table_is_visible(c.oid)
        ; args=None; alias=default
DEBUG 2024-05-23 11:48:06,380 utils (0.015) SELECT "django_migrations"."id", "django_migrations"."app", "django_migrations"."name", "django_migrations"."applied" FROM "django_migrations"; args=(); alias=default
DEBUG 2024-05-23 11:48:06,720 autoreload File C:\Users\raven\OneDrive\Escritorio\Coding\Personal_Projects\Task_Manager\venv\Lib\site-packages\django\utils\module_loading.py first seen with mtime 1710989856.0947077
DEBUG 2024-05-23 11:48:06,722 autoreload File C:\Users\raven\AppData\Local\Programs\Python\Python311\Lib\urllib\parse.py first seen with mtime 1680674650.0
DEBUG 2024-05-23 11:48:06,724 autoreload File C:\Users\raven\AppData\Local\Programs\Python\Python311\Lib\linecache.py first seen with mtime 1680674650.0
DEBUG 2024-05-23 11:48:06,725 autoreload File C:\Users\raven\AppData\Local\Programs\Python\Python311\Lib\http\__init__.py first seen with mtime 1680674650.0
DEBUG 2024-05-23 11:48:06,726 autoreload File C:\Users\raven\AppData\Local\Programs\Python\Python311\Lib\string.py first seen with mtime 1680674650.0
DEBUG 2024-05-23 11:48:06,727 autoreload File C:\Users\raven\OneDrive\Escritorio\Coding\Personal_Projects\Task_Manager\venv\Lib\site-packages\django\views\generic\detail.py first seen with mtime 1710989856.2132409
DEBUG 2024-05-23 11:48:06,731 autoreload File C:\Users\raven\OneDrive\Escritorio\Coding\Personal_Projects\Task_Manager\venv\Lib\site-packages\django\core\files\storage\memory.py first seen with mtime 1710989854.8773892
DEBUG 2024-05-23 11:48:06,732 autoreload File C:\Users\raven\OneDrive\Escritorio\Coding\Personal_Projects\Task_Manager\venv\Lib\site-packages\django\db\models\sql\__init__.py first seen with mtime 1710989855.4677525
DEBUG 2024-05-23 11:48:06,734 autoreload File C:\Users\raven\AppData\Local\Programs\Python\Python311\Lib\email\mime\base.py first seen with mtime 1680674650.0
DEBUG 2024-05-23 11:48:06,736 autoreload File C:\Users\raven\OneDrive\Escritorio\Coding\Personal_Projects\Task_Manager\venv\Lib\site-packages\django\core\cache\backends\locmem.py first seen with mtime 1710989854.7604995
DEBUG 2024-05-23 11:48:06,739 autoreload File C:\Users\raven\OneDrive\Escritorio\Coding\Personal_Projects\Task_Manager\venv\Lib\site-packages\rest_framework\serializers.py first seen with mtime 1710989994.209193
DEBUG 2024-05-23 11:48:06,741 autoreload File C:\Users\raven\OneDrive\Escritorio\Coding\Personal_Projects\Task_Manager\venv\Lib\site-packages\django\db\backends\base\base.py first seen with mtime 1710989855.1233506
DEBUG 2024-05-23 11:48:06,743 autoreload File C:\Users\raven\AppData\Local\Programs\Python\Python311\Lib\xml\__init__.py first seen with mtime 1680674650.0
